Audience Name,Audience Type,Sends,Deliveries,Bounces,Bounce Rate
No MCX Location Selected,List,29491,24496,4995,0.16937370723271505
MCX Yuma,List,17843,15777,2066,0.11578770386145827
MCX Twentynine Palms,List,62895,57515,5380,0.08553939104857301
MCX Test Send,List,4,4,0,0.0
MCX Seed List,List,80,80,0,0.0
MCX San Diego,List,49843,36866,12977,0.26035752262103
MCX Quantico,List,84007,72008,11999,0.14283333531729497
MCX Parris Island,List,21258,18318,2940,0.13830087496471916
MCX New River,List,6312,5796,516,0.0817490494296578
MCX Miramar,List,118502,91455,27047,0.22824087357175407
MCX Kaneohe Bay,List,64904,55371,9533,0.1468784666584494
MCX Iwakuni,List,20513,17639,2874,0.1401062740701019
MCX Henderson Hall,List,64242,50856,13386,0.20836835714952834
MCX Elmore,List,1760,1067,693,0.39375
MCX Cherry Point,List,32965,29505,3460,0.10495980585469437
MCX Camp Pendleton,List,145099,123502,21597,0.14884320360581396
MCX Camp Lejeune,List,70802,61947,8855,0.12506708850032486
MCX Beaufort,List,1101,745,356,0.32334241598546776
MCX Barstow,List,149,86,63,0.4228187919463087
MCX Albany,List,1527,965,562,0.36804191224623445
MCCX Subscribers,List,2192,1546,646,0.2947080291970803
Mail Tester list,List,2,2,0,0.0
