Audience Name,Audience Type,Unique Opens,Open Rate,Unique Clicks,Click Rate,Click to Open Rate,Unique Unsubscribes,Unsubscribe Rate
No MCX Location Selected,List,7666,0.31294905290659697,62,0.0025310254735467015,0.008087659796504044,4,0.00016329196603527107
MCX Yuma,List,5830,0.36952525828738036,92,0.0058312733726310455,0.015780445969125215,7,0.00044368384356975344
MCX Twentynine Palms,List,16456,0.2861166652177693,108,0.0018777710162566287,0.0065629557608167235,9,0.00015648091802138574
MCX Test Send,List,3,0.75,2,0.5,0.6666666666666666,0,0.0
MCX Seed List,List,43,0.5375,1,0.0125,0.023255813953488372,0,0.0
MCX San Diego,List,13762,0.3732978896544241,195,0.005289426571909076,0.01416945211451824,9,0.00024412738024195735
MCX Quantico,List,29623,0.41138484612820797,561,0.007790801022108654,0.018937987374675083,36,0.0004999444506165982
MCX Parris Island,List,6997,0.3819740146304182,109,0.0059504312697892785,0.0155781049021009,13,0.0007096844633693634
MCX New River,List,2087,0.3600759144237405,30,0.005175983436853002,0.014374700527072353,5,0.000862663906142167
MCX Miramar,List,38317,0.4189710786725712,487,0.005325023235470997,0.012709763290445495,32,0.0003498988573615439
MCX Kaneohe Bay,List,21538,0.3889761788661935,273,0.004930378718101533,0.012675271612963135,19,0.00034313991078362317
MCX Iwakuni,List,6419,0.3639095186801973,74,0.0041952491637847955,0.01152827543231033,9,0.0005102330064062589
MCX Henderson Hall,List,23648,0.46499921346547113,341,0.006705206858581092,0.014419824086603519,19,0.0003736039012112632
MCX Elmore,List,333,0.31208997188378634,22,0.020618556701030927,0.06606606606606606,0,0.0
MCX Cherry Point,List,10184,0.3451618369767836,143,0.004846636163362142,0.014041633935585232,8,0.0002711404846636163
MCX Camp Pendleton,List,48214,0.39039043902123044,543,0.004396689932146848,0.011262288961712367,44,0.0003562695340966138
MCX Camp Lejeune,List,22566,0.36427914184706284,330,0.005327134485931522,0.014623770273863334,11,0.00017757114953105075
MCX Beaufort,List,330,0.4429530201342282,38,0.05100671140939597,0.11515151515151516,2,0.0026845637583892616
MCX Barstow,List,38,0.4418604651162791,3,0.03488372093023256,0.07894736842105263,0,0.0
MCX Albany,List,356,0.3689119170984456,26,0.02694300518134715,0.07303370786516854,2,0.002072538860103627
MCCX Subscribers,List,676,0.4372574385510996,77,0.04980595084087969,0.11390532544378698,0,0.0
Mail Tester list,List,2,1.0,2,1.0,1.0,2,1.0
