Date,Followers (SUM),Change in Followers
2025-01-01,1298964,81
2025-01-02,1299032,68
2025-01-03,1299134,102
2025-01-04,1299319,185
2025-01-05,1299426,107
2025-01-06,1299713,287
2025-01-07,1299802,89
2025-01-08,1299933,131
2025-01-09,1300043,110
2025-01-10,1300184,141
2025-01-11,1300263,79
2025-01-12,1300263,0
2025-01-13,1300383,120
2025-01-14,1300416,33
2025-01-15,1300554,138
2025-01-16,1300725,171
2025-01-17,1300881,156
2025-01-18,1301025,144
2025-01-19,1301177,152
2025-01-20,1301194,17
2025-01-21,1301270,76
2025-01-22,1301508,238
2025-01-23,1301695,187
2025-01-24,1301784,89
2025-01-25,1301927,143
2025-01-26,1302066,139
2025-01-27,1302223,157
2025-01-28,1302344,121
2025-01-29,1302515,171
2025-01-30,1302600,85
