Social Network,Date,Followers (SUM),Change in Followers
Instagram,2025-01-31,89323,471
Facebook,2025-01-22,1096600,265
Facebook,2025-01-06,1095219,263
Facebook,2025-01-29,1097346,163
Facebook,2025-01-04,1094881,162
Facebook,2025-01-19,1096227,147
Facebook,2025-01-23,1096743,143
Facebook,2025-01-27,1097091,128
Facebook,2025-01-17,1095969,126
Facebook,2025-01-16,1095843,122
Facebook,2025-01-31,1097542,113
Facebook,2025-01-18,1096080,111
Facebook,2025-01-03,1094719,110
Facebook,2025-01-21,1096335,100
Facebook,2025-01-28,1097183,92
Facebook,2025-01-13,1095597,86
Facebook,2025-01-25,1096888,85
Facebook,2025-01-15,1095721,83
Facebook,2025-01-30,1097429,83
Facebook,2025-01-05,1094956,75
Facebook,2025-01-10,1095499,75
Facebook,2025-01-26,1096963,75
Facebook,2025-01-02,1094609,74
Facebook,2025-01-01,1094535,73
Facebook,2025-01-08,1095362,73
Facebook,2025-01-07,1095289,70
Facebook,2025-01-09,1095424,62
Facebook,2025-01-24,1096803,60
Instagram,2025-01-26,88804,52
Instagram,2025-01-25,88752,47
Instagram,2025-01-08,88485,44
LinkedIn,2025-01-31,68939,42
Facebook,2025-01-14,1095638,41
Facebook,2025-01-11,1095538,39
Instagram,2025-01-10,88558,39
Instagram,2025-01-24,88705,36
LinkedIn,2025-01-17,68780,36
Instagram,2025-01-09,88519,34
Instagram,2025-01-05,88408,33
LinkedIn,2025-01-15,68730,33
Instagram,2025-01-16,88607,31
Instagram,2025-01-28,88864,31
Instagram,2025-01-23,88669,30
Instagram,2025-01-27,88833,29
LinkedIn,2025-01-23,68829,29
Instagram,2025-01-04,88375,25
Instagram,2025-01-18,88622,25
LinkedIn,2025-01-10,68621,24
LinkedIn,2025-01-14,68697,24
LinkedIn,2025-01-29,68900,24
LinkedIn,2025-01-13,68673,22
Instagram,2025-01-12,88585,21
LinkedIn,2025-01-11,68641,20
Instagram,2025-01-01,88362,17
Instagram,2025-01-07,88441,17
Instagram,2025-01-06,88424,16
LinkedIn,2025-01-16,68744,14
LinkedIn,2025-01-24,68843,14
LinkedIn,2025-01-25,68857,14
LinkedIn,2025-01-18,68793,13
Instagram,2025-01-15,88576,11
Instagram,2025-01-19,88633,11
YouTube,2025-01-13,3300,11
LinkedIn,2025-01-20,68805,11
LinkedIn,2025-01-26,68868,11
X,2025-01-11,44232,10
LinkedIn,2025-01-12,68651,10
X,2025-01-15,44224,9
LinkedIn,2025-01-09,68597,9
Facebook,2025-01-20,1096235,8
LinkedIn,2025-01-08,68588,8
X,2025-01-05,44209,7
Instagram,2025-01-11,88564,6
Instagram,2025-01-13,88591,6
X,2025-01-02,44203,6
X,2025-01-08,44218,6
LinkedIn,2025-01-06,68577,6
Instagram,2025-01-21,88636,5
LinkedIn,2025-01-28,68876,5
X,2025-01-09,44222,4
X,2025-01-17,44231,4
YouTube,2025-01-11,3288,4
LinkedIn,2025-01-01,68589,4
Instagram,2025-01-22,88639,3
Instagram,2025-01-30,88852,3
X,2025-01-06,44212,3
X,2025-01-16,44227,3
YouTube,2025-01-10,3284,3
LinkedIn,2025-01-03,68582,3
LinkedIn,2025-01-07,68580,3
LinkedIn,2025-01-27,68871,3
X,2025-01-04,44202,2
YouTube,2025-01-02,3283,2
YouTube,2025-01-15,3303,2
YouTube,2025-01-19,3306,2
YouTube,2025-01-23,3307,2
X,2025-01-20,44218,1
X,2025-01-26,44124,1
X,2025-01-30,44113,1
YouTube,2025-01-09,3281,1
YouTube,2025-01-12,3289,1
YouTube,2025-01-14,3301,1
YouTube,2025-01-16,3304,1
YouTube,2025-01-21,3306,1
YouTube,2025-01-27,3308,1
YouTube,2025-01-30,3309,1
LinkedIn,2025-01-19,68794,1
LinkedIn,2025-01-21,68806,1
X,2025-01-07,44212,0
X,2025-01-10,44222,0
YouTube,2025-01-01,3281,0
YouTube,2025-01-03,3283,0
YouTube,2025-01-05,3282,0
YouTube,2025-01-08,3280,0
YouTube,2025-01-17,3304,0
YouTube,2025-01-18,3304,0
YouTube,2025-01-24,3307,0
YouTube,2025-01-25,3307,0
YouTube,2025-01-26,3307,0
YouTube,2025-01-28,3308,0
YouTube,2025-01-29,3308,0
YouTube,2025-01-31,3309,0
X,2025-01-29,44112,-1
YouTube,2025-01-04,3282,-1
YouTube,2025-01-06,3281,-1
YouTube,2025-01-07,3280,-1
YouTube,2025-01-20,3305,-1
YouTube,2025-01-22,3305,-1
Instagram,2025-01-20,88631,-2
X,2025-01-03,44200,-3
X,2025-01-25,44123,-3
LinkedIn,2025-01-04,68579,-3
LinkedIn,2025-01-30,68897,-3
Instagram,2025-01-02,88358,-4
X,2025-01-27,44120,-4
X,2025-01-12,44227,-5
X,2025-01-13,44222,-5
X,2025-01-18,44226,-5
LinkedIn,2025-01-22,68800,-6
X,2025-01-14,44215,-7
X,2025-01-28,44113,-7
Instagram,2025-01-03,88350,-8
LinkedIn,2025-01-05,68571,-8
X,2025-01-19,44217,-9
Instagram,2025-01-17,88597,-10
X,2025-01-31,44103,-10
LinkedIn,2025-01-02,68579,-10
X,2025-01-01,44197,-13
Instagram,2025-01-29,88849,-15
X,2025-01-23,44147,-17
X,2025-01-24,44126,-21
X,2025-01-22,44164,-23
Instagram,2025-01-14,88565,-26
Facebook,2025-01-12,1095511,-27
